iter	Passed	Remaining
702	2653	1121
703	2657	1117
704	2660	1113
705	2664	1109
706	2667	1105
707	2671	1101
708	2674	1097
709	2678	1093
710	2681	1089
711	2685	1086
712	2688	1082
713	2692	1078
714	2697	1075
715	2700	1071
716	2704	1067
717	2707	1063
718	2710	1059
719	2714	1055
720	2717	1051
721	2720	1047
722	2724	1043
723	2727	1039
724	2730	1035
725	2734	1031
726	2737	1027
727	2740	1024
728	2744	1020
729	2747	1016
730	2750	1012
731	2754	1008
732	2757	1004
733	2761	1000
734	2764	996
735	2767	992
736	2771	988
737	2774	984
738	2777	981
739	2781	977
740	2784	973
741	2787	969
742	2791	965
743	2794	961
744	2798	957
745	2801	953
746	2804	949
747	2808	946
748	2811	942
749	2814	938
750	2818	934
751	2821	930
752	2825	926
753	2828	922
754	2831	918
755	2835	915
756	2838	911
757	2841	907
758	2845	903
759	2848	899
760	2852	895
761	2855	891
762	2858	887
763	2862	884
764	2865	880
765	2868	876
766	2872	872
767	2875	868
768	2878	864
769	2882	860
770	2885	857
771	2888	853
772	2892	849
773	2895	845
774	2898	841
775	2902	837
776	2905	833
777	2908	830
778	2912	826
779	2915	822
780	2919	818
781	2922	814
782	2925	810
783	2928	806
784	2932	803
785	2935	799
786	2939	795
787	2942	791
788	2945	787
789	2949	783
790	2952	780
791	2955	776
792	2959	772
793	2962	768
794	2965	764
795	2969	760
796	2972	757
797	2976	753
798	2979	749
799	2982	745
800	2986	741
801	2989	738
802	2993	734
803	2996	730
804	2999	726
805	3003	722
806	3006	719
807	3009	715
808	3013	711
809	3016	707
810	3019	703
811	3023	699
812	3026	696
813	3029	692
814	3033	688
815	3036	684
816	3039	680
817	3043	677
818	3046	673
819	3049	669
820	3053	665
821	3056	661
822	3060	658
823	3063	654
824	3066	650
825	3070	646
826	3073	642
827	3076	639
828	3080	635
829	3083	631
830	3086	627
831	3090	624
832	3093	620
833	3096	616
834	3100	612
835	3103	608
836	3107	605
837	3110	601
838	3113	597
839	3117	593
840	3120	589
841	3123	586
842	3127	582
843	3130	578
844	3134	574
845	3137	571
846	3141	567
847	3144	563
848	3148	559
849	3151	556
850	3154	552
851	3158	548
852	3161	544
853	3165	541
854	3168	537
855	3171	533
856	3175	529
857	3178	526
858	3181	522
859	3185	518
860	3188	514
861	3191	510
862	3195	507
863	3198	503
864	3201	499
865	3208	496
866	3214	493
867	3218	489
868	3222	485
869	3225	482
870	3229	478
871	3232	474
872	3235	470
873	3239	466
874	3242	463
875	3245	459
876	3249	455
877	3252	451
878	3256	448
879	3259	444
880	3262	440
881	3266	436
882	3269	433
883	3273	429
884	3276	425
885	3279	421
886	3283	418
887	3286	414
888	3289	410
889	3293	407
890	3296	403
891	3300	399
892	3303	395
893	3306	392
894	3310	388
895	3313	384
896	3316	380
897	3320	377
898	3323	373
899	3326	369
900	3330	365
901	3333	362
902	3336	358
903	3340	354
904	3343	350
905	3346	347
906	3350	343
907	3353	339
908	3357	336
909	3362	332
910	3365	328
911	3368	325
912	3372	321
913	3375	317
914	3378	313
915	3382	310
916	3385	306
917	3389	302
918	3392	299
919	3395	295
920	3399	291
921	3402	287
922	3406	284
923	3409	280
924	3412	276
925	3416	272
926	3419	269
927	3422	265
928	3426	261
929	3429	258
930	3432	254
931	3436	250
932	3439	246
933	3442	243
934	3446	239
935	3449	235
936	3453	232
937	3456	228
938	3460	224
939	3463	221
940	3467	217
941	3470	213
942	3474	209
943	3477	206
944	3480	202
945	3484	198
946	3487	195
947	3490	191
948	3494	187
949	3497	184
950	3500	180
951	3504	176
952	3507	172
953	3510	169
954	3514	165
955	3517	161
956	3521	158
957	3524	154
958	3527	150
959	3531	147
960	3534	143
961	3537	139
962	3541	136
963	3544	132
964	3547	128
965	3551	124
966	3554	121
967	3557	117
968	3561	113
969	3564	110
970	3568	106
971	3571	102
972	3574	99
973	3578	95
974	3581	91
975	3585	88
976	3588	84
977	3591	80
978	3594	77
979	3598	73
980	3601	69
981	3604	66
982	3608	62
983	3611	58
984	3614	55
985	3618	51
986	3621	47
987	3625	44
988	3628	40
989	3631	36
990	3635	33
991	3638	29
992	3642	25
993	3645	22
994	3648	18
995	3652	14
996	3655	10
997	3658	7
998	3662	3
999	3665	0
