iter	Logloss
0	0.6144965349
1	0.5406574925
2	0.4742927354
3	0.4197624736
4	0.3702830969
5	0.3256780928
6	0.2877365699
7	0.2576561802
8	0.2296869469
9	0.2004682266
10	0.1784282525
11	0.1588524637
12	0.1416555063
13	0.12690524
14	0.1148988146
15	0.10409461
16	0.09393163001
17	0.08584523188
18	0.07824184798
19	0.07160439618
20	0.06554773618
21	0.0602466005
22	0.05564247262
23	0.0507539124
24	0.04731753236
25	0.04426468027
26	0.04148636704
27	0.03896779627
28	0.03662140726
29	0.03480873591
30	0.03274973331
31	0.03112370432
32	0.02974508984
33	0.02810185625
34	0.02680690597
35	0.02561165763
36	0.02449427825
37	0.02354278817
38	0.02268561772
39	0.02183472328
40	0.02108323349
41	0.02030535302
42	0.01965647135
43	0.01911163305
44	0.01855492409
45	0.01808522791
46	0.01769751852
47	0.01725528062
48	0.0167639587
49	0.0163505235
50	0.01598926069
51	0.01555109617
52	0.01520924137
53	0.0149297996
54	0.01465806964
55	0.0144026964
56	0.01402511214
57	0.01371318158
58	0.01335105807
59	0.01311763303
60	0.01276863868
61	0.01259571421
62	0.01242764964
63	0.01216639614
64	0.01195459151
65	0.01171778334
66	0.01155660567
67	0.01141352028
68	0.0111682745
69	0.01098740482
70	0.01077026478
71	0.01064850843
72	0.01049090526
73	0.01032016782
74	0.01021355645
75	0.0100547471
76	0.009921411001
77	0.009775367161
78	0.009716259793
79	0.009596048414
80	0.009507633679
81	0.009379234288
82	0.009264673998
83	0.009201081763
84	0.009122106216
85	0.009005652828
86	0.008884706321
87	0.008766474421
88	0.008618534833
89	0.008529332971
90	0.008412560775
91	0.008334379592
92	0.008234652425
93	0.008117090814
94	0.008050489016
95	0.007956029109
96	0.007847790617
97	0.007752120601
98	0.007696691148
99	0.007612167987
100	0.007518035225
101	0.00745574945
102	0.007381831547
103	0.007310932426
104	0.007257388694
105	0.007224777655
106	0.0071711327
107	0.007118886463
108	0.007064130053
109	0.007015162303
110	0.00694263109
111	0.006879514325
112	0.006845132314
113	0.00677708395
114	0.006689546397
115	0.006628930762
116	0.006573790943
117	0.006519408356
118	0.006486175886
119	0.006423633156
120	0.00637616949
121	0.006316241891
122	0.006266948644
123	0.00624171942
124	0.006211090274
125	0.006181067104
126	0.006125853211
127	0.006099544907
128	0.006068005736
129	0.006012543748
130	0.005975395956
131	0.005929162363
132	0.005883430792
133	0.005847109419
134	0.005821309874
135	0.00580282187
136	0.005773089633
137	0.005748760963
138	0.005713808258
139	0.005688226396
140	0.005658411074
141	0.005639187784
142	0.005589234452
143	0.005548186547
144	0.005528771197
145	0.005489948653
146	0.005461342582
147	0.005419388825
148	0.005387731032
149	0.00534140202
150	0.005327331745
151	0.005311337925
152	0.005282925587
153	0.005251125353
154	0.005239451098
155	0.005213623403
156	0.005182455423
157	0.005139835342
158	0.005117759449
159	0.005087253876
160	0.005051518837
161	0.005033066725
162	0.004998276376
163	0.004984045473
164	0.004961354868
165	0.004927326747
166	0.004878703939
167	0.004857642322
168	0.004840207846
169	0.004815616781
170	0.004769303909
171	0.004741436387
172	0.004709012679
173	0.004699996083
174	0.004678051826
175	0.004628981485
176	0.004610508738
177	0.004577789071
178	0.004557095327
179	0.004537764221
180	0.004514073981
181	0.004498963308
182	0.004460618188
183	0.004435426974
184	0.00441546806
185	0.004399029545
186	0.004388126664
187	0.004376636411
188	0.004358370568
189	0.004334131841
190	0.004316084425
191	0.004280063102
192	0.004263137708
193	0.004231429125
194	0.004213908093
